Sl No,Stock,Market Cap,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Total Rev  Ann  1Y Ago,Rev  Ann  2Y ago,Rev  Ann  3Y ago,Rev  Ann  4Y ago,Rev  Ann  5Y ago,ROCE Ann  1Y Ago %,OPM Ann  1Y ago %,Net Profit Ann ,Total Rev  Ann ,NSE Code,BSE Code,ISIN
51,TBO Tek,15946.12,229.89,202.15,144.25,33.72,-34.14,1799.3,1415.48,1085.77,511.93,176.55,20.69,15.29,244.31,2728.71,TBOTEK,544174,INE673O01025
52,ABREL,15936.74,-161.28,50.53,271.88,166.53,-30.44,1257.33,4570.01,4827.17,4174.01,2678.19,0.05,2.35,-103.22,459.16,ABREL,500040,INE055A01016
53,Finolex Cables,15885.81,700.77,651.69,504.28,599.14,461.46,5516.31,5189.73,4598.85,3839.56,2845.1,11.67,9.81,713.72,6486.64,FINCABLES,500144,INE235A01022
54,Fine Organic ,15742.38,410.5,411.89,618.1,259.61,120.32,2366.75,2194.83,3087.23,1909.32,1150.32,24.3,21.67,417.07,2482.47,FINEORG,541557,INE686Y01026
55,Dr Agarwals Health Care,15648.41,83.46,83.06,94.1,37.69,,1757.02,1376.45,1031.49,713.78,,8.5,25.97,133.19,2124.52,AGARWALEYE,544350,INE943P01029
56,Black Box,15575.45,204.78,137.67,23.7,72.72,78.09,5971.94,6300.75,6309.19,5376.53,4685.15,25.09,9,217.52,6327.83,BBOX,500463,INE676A01027
57,KFIN Technologies,15452.46,332.62,246.05,195.74,148.55,-64.51,1128.48,862.18,737.52,645.56,486.2,28.62,42.45,343.71,1343.92,KFINTECH,543720,INE138Y01010
58,Vedanta Power,15426.48,31.84,602.15,-70.28,,,5244.21,5319.88,5806.61,,,7.83,20.36,-1713.26,5497.22,VEDPOWER,544781,INE694L01019
59,BEML,15393.47,292.57,281.81,157.92,128.79,68.9,4045.95,4096.56,3922.54,4343.19,3616.81,11.43,12.5,141.36,4379.97,BEML,500048,INE258A01024
60,Honasa Consumer,15383.45,72.69,111.78,-142.81,15.72,,2145.68,1969.6,1515.27,964.34,,7.86,3.19,199.94,2475.53,HONASA,544014,INE0J5401028
61,Kirloskar Brothers,15365.62,415.23,348.14,94.34,94.34,161.09,4564.12,4059.82,3090.06,3090.06,2770.27,25.63,13.35,373.63,4615.16,KIRLOSBROS,500241,INE732A01036
62,India Grid Trust,15360.64,285.37,455.57,348.41,333.71,505.72,2987.48,2414.29,2274.44,1714.15,1278.59,6.77,85.03,398.39,3437.73,INDIGRID,540565,INE219X23014
63,Ceat,15311.17,472.64,642.65,186.17,71.2,432.04,13235.42,11963.21,11331.82,9374.81,7623.41,15.36,11.14,698.02,15718.38,CEATLTD,500878,INE482A01020
64,Azad Engineering,15282.61,87.32,58.58,8.47,29.46,11.5,467.94,372.76,261.52,199.26,125.03,8.73,34.47,132.95,648.63,AZAD,544061,INE02IJ01035
65,Happy Forgings,15280.86,267.44,242.98,208.7,142.29,,1446.34,1371.59,1202.27,866.1,,19.43,28.12,301.63,1577.15,HAPPYFORGE,544057,INE330T01021
66,International Gemological,15257.4,427.29,324.74,,241.76,,1088.49,648.66,,499.33,,49.45,55.1,711.2,1661.88,IGIL,544311,INE0Q9301021
67,Rainbow Childrens Medicare,15245.15,243.42,217,210.83,138.27,40.02,1566.87,1333.96,1204.44,992.7,660.31,18.07,31.27,278.32,1746.86,RAINBOW,543524,INE961O01016
68,Fractal Analytics,15232.67,223,-47.5,203,,,2816.2,2241.9,2043.7,,,13.07,12.42,292.2,3362.6,FRACTAL,544700,INE212S01015
69,Usha Martin,15154.82,407.39,423.96,350.14,291.27,149.59,3513.55,3265.48,3295.82,2723.31,2130.59,17.64,16.99,465.99,3759.94,USHAMART,517146,INE228A01035
70,KPIT Technologies,15134.11,839.6,594.53,381,274.23,146.14,6009.67,4931.81,3405.23,2477.2,2051.5,35.39,20.46,637.34,6540.67,KPITTECH,542651,INE04I401011
71,Maharashtra Scooters,14921.18,214.35,199.31,195.29,142.71,8.81,185.2,223.54,217.76,194.46,30.71,0.49,92.75,310.56,313.24,MAHSCOOTER,500266,INE288A01013
72,Clean Max Enviro Energy,14874.83,27.84,-30.99,-65.27,23.22,,1610.34,1425.31,960.98,723.32,,6.6,55.92,94.13,2075.21,CLEANMAX,544717,INE647U01026
73,Paradeep Phosphates,14794.97,551.79,99.91,304.19,398.45,223.27,13931.6,11643.95,13431.79,7897.99,5183.94,22.67,9.01,996.35,21972.92,PARADEEP,543530,INE088F01024
74,Aptus Value Housing ,14785.9,751.25,611.9,503.01,370.14,266.94,1798.4,1416.84,1129,840.22,655.24,34.96,82.26,942.94,2245.48,APTUS,543335,INE852O01025
75,Ventive Hospitality,14511.11,120.29,166.32,,,,1672.53,494.71,,,,6.23,45.49,425.65,2666.09,VENTIVE,544321,INE781S01027
76,Apollo Micro Systems,14467.3,56.4,31.12,18.75,14.62,10.25,564.95,373.46,298.35,243.95,203.71,16.16,22.87,112.92,910.6,APOLLO,540879,INE713T01028
77,Anupam Rasayan,14447.35,93.35,128.6,180.84,152.18,70.3,1448.45,1505.32,1610.47,1081.11,837.32,8.95,27.68,170.12,2383.63,ANURAS,543275,INE930P01018
78,Alivus Life Sciences,14397.33,485.63,470.89,466.96,418.72,351.58,2421.45,2295.26,2190.18,2137.92,1885.98,22.32,28.19,564.48,2612.24,ALIVUS,543322,INE03Q201024
79,Privi Speciality ,14396.95,187,94.91,22.21,97.38,116.9,2121.84,1778.53,1629.24,1436.11,1296.52,20.29,21.37,327.54,2582.92,PRIVISCL,530117,INE959A01019
80,Vedanta Oil and Gas,14382.41,-188.09,-117.42,,,,891.33,668.54,,,,48.63,-10.65,-190.51,379.77,VOGL,544782,INE704J01044
81,Vijaya Diagnostic Centre,14298.53,143.08,118.83,84.63,109.68,84.48,699.71,568.62,473.37,475.2,388.59,19.88,39.05,172.98,835,VIJAYA,543350,INE043W01024
82,Arvind,14261.7,353.49,336.61,404.56,238.15,-16.52,8394,7778.58,8427,8084.28,5124.57,14.37,10.17,413.94,9359.51,ARVIND,500101,INE034A01011
83,Canara HSBC Life Insurance,14111.3,116.98,113.32,91.19,10.24,94.62,10728.36,11852.2,8446.49,8752.8,9437.06,0.2,0.82,126.61,11628.92,CANHLIFE,544583,INE01TY01017
84,Concord Biotech,14090.76,371.64,308.1,240.09,174.93,,1244.53,1050.72,888.48,736.35,,26.82,40.68,260.91,1107.25,CONCORDBIO,543960,INE338H01029
85,DOMS Industries,13957.7,202.34,153.14,95.81,14.36,-9.02,1935.23,1547.27,1216.52,686.22,408.79,23.9,18.01,230.18,2344.93,DOMS,544045,INE321T01012
86,Nuvoco Vistas,13916.59,21.84,147.37,15.86,32.08,-25.92,10376.1,10766.38,10599.38,9360.11,7522.69,4.05,13.22,359.35,11362.35,NUVOCO,543334,INE118D01016
87,Ingersoll-Rand,13915.17,267.52,222.39,182.64,110.14,72.35,1374.58,1241.2,1170.07,922.97,630.78,57.88,24.77,256.03,1430.8,INGERRAND,500210,INE177A01018
88,EID Parry,13881.43,878.35,899.67,947.48,906.83,447.37,31967.79,29716.92,35283.02,23743.78,18630.6,18.11,8.41,569.54,38883.44,EIDPARRY,500125,INE126A01031
89,Inox Wind,13841.46,448.22,-40.42,-666.87,-427.38,-305.56,3701.55,1799.32,758.42,706.18,786.98,12.53,20.46,405.03,4568.96,INOXWIND,539083,INE066P01011
90,Devyani Intl,13722.62,9.15,47.26,265,156.34,-55.21,4988.04,3588.96,3030.31,2100.13,1198.9,6.57,16.26,-38.63,5656.59,DEVYANI,543330,INE872J01023
91,Vinati Organics,13663.13,405.25,322.97,457.97,346.62,269.32,2292.48,1938.75,2157.13,1676.42,980.1,18.09,25.34,443.74,2279.53,VINATIORGA,524200,INE410B01037
92,Gravita,13619.88,312.39,239.19,201.1,139.39,52.48,3980.61,3238.56,2893.68,2223.71,1416.92,17.82,8.14,378.8,4342.2,GRAVITA,533282,INE024L01027
93,SKF Industrial,13579.63,-0.07,,,,,0,,,,,117.02,,217.67,3499.48,SKFINDUS,544572,INE2J8701016
94,JSW Dulux,13550.25,429.5,426.6,335.1,290.1,207.6,4118.8,3997.4,3829.5,3171.3,2444.6,39.88,15.57,1973.8,3697.7,JSWDULUX,500710,INE133A01011
95,Avanti Feeds,13529.19,528.82,357.14,278.67,221.57,,5777.74,5505.16,5179,5117.63,,22.89,10.96,606.06,6276.46,AVANTIFEED,512573,INE871C01038
96,CarTrade Tech,13529.04,134.65,14.3,34,-132.1,91.21,711,555.23,427.72,358.95,281.52,7.32,21.17,223,869.77,CARTRADE,543333,INE290S01011
97,KEC International,13505.66,570.74,346.78,176.03,332.08,552.72,21917.56,19966.58,17313.03,13755.69,13144.12,23.36,6.86,605.59,23555.87,KEC,532714,INE389H01022
98,LT Foods,13443.9,605.34,593.35,402.65,292.18,274.05,8769.94,7822.06,6978.81,5450.58,4686.17,19.69,11.15,625.38,11023.06,LTFOODS,532783,INE818H01020
99,Supreme Petrochem,13428.97,390.52,346.49,498.14,663.26,477.49,6096.54,5321.49,5346.14,5062.8,3206.45,22.53,8.74,327.31,5381.69,SPLPETRO,500405,INE663A01033
100,Atlanta Electricals,13419.23,118.65,63.52,87.47,55.3,,1250.48,872.05,876.66,627.69,,43.11,15.48,201.77,1867.17,ATLANTAELE,544527,INE0Z4F01028
1,Manappuram Finance,27885.79,1216.15,2188.68,1495.98,1328.44,1724.26,10040.88,8920.09,6749.95,6126.31,6374.62,41.31,54.18,1003.3,9524.68,MANAPPURAM,531213,INE522D01027
2,Mangalore Refinery,27824.26,56.2,3597.06,2655.41,2958.25,-567.51,94834.83,90598.26,109046.07,69825.34,32155.32,4.95,2.42,1924.58,88865.68,MRPL,500109,INE103A01014
3,ACME Solar Holdings,27702.4,252.11,697.8,-3.14,62.03,15.21,1575.24,1466.27,1361.37,1562.73,1910.21,6.54,78.43,498.92,2507.08,ACMESOLAR,544283,INE622W01025
4,Amber Enterprises,27641.14,243.56,132.88,157.2,109.19,81.59,10046.58,6784.58,6979.76,4239.63,3063.62,15.72,7.6,177.65,12306.64,AMBER,540902,INE371P01015
5,Go Digit Insurance ,27635.06,424.94,181.68,35.55,-295.85,-122.76,9695.55,8615.38,5885.7,3840.96,2251.99,10.59,1.96,631.69,10477.86,GODIGIT,544179,INE03JT01014
6,SJVN,27575.37,819.66,911.44,1359.3,989.8,1645.61,3376.5,2876.96,3282.5,2634.78,3222.84,4.45,65.78,642.08,4722.81,SJVN,533206,INE002L01015
7,ITI,27466.95,-214.89,-568.92,-359.85,119.7,9.39,3701.62,1308.13,1447.99,2115.3,2523.56,-2.3,-1.62,292.83,2237.12,ITI,523610,INE248A01017
8,Cemindia Projects,27238.64,372.81,273.73,124.24,68.81,15.76,9152.57,7765.9,5119.53,3820.88,2740.16,36.08,9.49,597.73,10237.54,CEMPRO,509496,INE686A01026
9,Syrma SGS Technology,27104.73,169.87,107.33,119.32,55.54,32.02,3836.12,3212.44,2092.14,1032.41,444.48,14.94,8.43,317.78,4856.87,SYRMA,543573,INE0DYJ01015
10,Apollo Tyres,27061.65,1121.32,1721.87,1104.64,638.6,350.21,26211.52,25531.29,24609.22,21071.06,17526.38,10.83,13.63,1372.42,28604,APOLLOTYRE,500877,INE438A01022
11,Sumitomo Chemical,27008.77,505.5,369.54,502.21,423.56,345.3,3268.62,2939.62,3555.82,3091.39,2663.48,22.87,19.34,542.96,3385.04,SUMICHEM,542920,INE258G01013
12,ZF Commercial,26901.34,460.73,406.45,317.67,142.07,,3939.16,3910.46,3511.23,2580.88,,18.66,16.02,517.15,4302.13,ZFCVINDIA,533023,INE342J01019
13,Sai Life Science,26899.89,170.13,82.81,9.99,6.23,,1731.35,1494.27,1245.1,897.74,,12.51,23.43,348.91,2241.62,SAILIFE,544306,INE570L01029
14,Sterlite Tech,26864.71,-123,-51,141,61.95,275.47,4032,5535,6966,5813.58,4868.15,4.5,10.32,56,4804,STLTECH,532374,INE089C01029
15,Gujarat Energy,26824.02,1148.32,1143.7,1528.38,1287.37,1277.72,16695.24,15796.3,16860.73,16547.09,9928.41,16.28,11.26,1677.58,24161.92,GUJENERGY,539336,INE844O01030
16,NBCC,26508.6,541.13,401.56,266.66,224.32,221.8,12273,10666.68,8961.47,7884.56,7012.36,29.96,5.09,720.03,13195.89,NBCC,534309,INE095N01031
17,PTC Industries,26368.81,61.02,42.22,25.82,12.81,4.35,342.23,270.26,226.73,185.23,168.55,6.02,21.99,101.56,643.29,PTCIL,539006,INE596F01018
18,Motherson Sumi Wiring,26294.54,605.9,638.3,487,410.7,-0.41,9332.2,8335.1,7079.7,5665,0,43.19,10.68,625.2,11481.5,MSUMI,543498,INE0FS801015
19,R R Kabel,26041.41,311.61,298.13,189.87,213.94,135.4,7669.35,6657.18,5633.64,4432.22,2745.94,20.67,6.33,492.22,9778.78,RRKABEL,543981,INE777K01022
20,ACC,26008.54,2402.12,2336.37,885.07,1862.99,1430.18,22834.74,20451.77,22552.07,16358.38,14002.72,15.86,13.41,2137.07,26363.79,ACC,500410,INE012A01025
21,Gillette,25528.87,417.66,355.68,289.33,310.38,230.18,2262.82,2499.23,2263.9,2041.15,1690.48,49.53,26.47,654.31,3127.42,GILLETTE,507815,INE322A01010
22,Nexus Select Trust,25015.68,598.55,-2.95,-10.95,-199.11,206.74,1998,0,1398.52,1047.97,1708.19,4.39,65.52,482.82,2399.41,NXST,543913,INE0NDH25011
23,Netweb Technologies,24921.24,114.48,75.9,46.94,22.45,8.23,1158.41,735.96,445.65,247.94,144.29,29.28,13.81,205.82,2202.4,NETWEB,543945,INE0NT901020
24,Capri Global Capital,24703.3,478.53,279.41,204.65,205.04,176.96,3250.84,2314.2,1465,981.79,737.14,43.2,61.69,949.15,4742.01,CGCL,531595,INE180C01042
25,AWL Agri Business,24615.91,1225.08,147.99,582.12,803.73,727.65,63910.28,51555.24,58446.16,54385.89,37195.66,21.7,3.88,1042.05,75148.47,AWL,543458,INE699H01024
26,Neuland Laboratories,24580.81,260.11,300.08,163.52,63.82,80.63,1497.35,1571.12,1200.95,953.15,953.01,16.23,21.59,364,2053.15,NEULANDLAB,524558,INE794A01010
27,IRB Infrastructure,24313.01,6480.68,605.82,720.01,361.4,117.15,8031.55,8201.76,6703.31,6355.45,5487.53,5.95,44.9,850.36,7853.98,IRB,532947,INE821I01022
28,Force Motors,24190.37,800.74,388.09,133.64,-91.08,-123.63,8128.29,7031.23,5091.01,3292.3,2013.08,25.49,13.44,1211.63,9167.51,FORCEMOT,500033,INE451A01017
29,Craftsman Automation,24140.51,194.57,304.47,248.39,163.09,97.19,5715.55,4468.97,3195.14,2224.42,1570.03,10.8,14.57,383.99,8130.63,CRAFTSMAN,543276,INE00LO01017
30,Rubicon Research,24088,134.36,91.01,-16.89,,,1296.22,872.39,419,,,34.76,19.75,246.74,1761.68,RUBICON,544578,INE506V01022
31,Timken,23984.23,447.39,392.14,390.74,327.1,143.18,3197.99,2950.31,2859.78,2217.53,1430.12,19.11,18.5,398.33,3447.32,TIMKEN,522113,INE325A01013
32,Gabriel,23892.38,244.98,178.75,,,,4089.34,3422.05,,,,26.7,9.53,252.28,4693.24,GABRIEL,505714,INE524A01029
33,CreditAccess Grameen,23698.23,531.4,1445.93,826.06,363.04,134.02,5756.14,5172.65,3550.79,2750.13,2466.07,37.65,47.16,777.64,6062.54,CREDITACC,541770,INE741K01010
34,Data Patterns,23575.42,221.81,181.69,124,93.97,55.56,754.69,565.83,462.67,314.81,226.55,19.67,36.44,271.37,952.73,DATAPATTNS,543428,INE0IX101010
35,RBL Bank,23274.83,717.07,1259.89,919.54,-166.15,529.47,17819.49,15453.75,12056.49,10796.37,10609.87,8,20.51,879.05,18463.93,RBLBANK,540065,INE976G01028
36,Emmvee Photovoltaic Power,23266.25,369.01,28.9,8.94,,,2360.32,954.44,644.37,,,23.03,30.59,1081.55,5103.39,EMMVEE,544608,INE1C6T01020
37,Asahi Glass,23259.56,371.27,327.98,364.88,344.78,133.07,4626.47,4365.86,4035.15,3189.73,2457.48,12.32,16.55,344.7,5031.03,ASAHIINDIA,515030,INE439A01020
38,Deepak Nitrite,23171.81,697.24,810.9,852,1066.64,775.81,8365.79,7757.93,8019.64,6844.8,4381.27,14.42,13.05,550.53,7946.94,DEEPAKNTR,506401,INE288B01029
39,KIOCL,23127.97,-204.58,-83.31,-97.67,313.41,301.17,640.63,1904.73,1623.81,3080.74,2477.83,-9.59,-31.28,16.57,708.26,KIOCL,540680,INE880L01014
40,IIFL Finance,23014.34,378.77,1763.54,1500.3,1187.89,760.12,10237.07,10490.47,8447.11,7006.28,5989.4,38.16,54.95,1660.8,13373.83,IIFL,532636,INE530B01024
41,Piramal Pharma,22901.85,91.13,17.82,-186.46,375.96,835.03,9285.99,8346.55,7306.66,6834.9,6479.01,6.4,15.56,-325.94,9082.38,PPLPHARMA,543635,INE0DK501011
42,Tenneco Clean Air,22809.7,552.06,416.66,381.08,,,4931.44,5537.39,4886.96,,,44.78,16.53,603.58,5462.93,TENNIND,544612,INE19RI01016
43,Grindwell Norton,22697.6,368.72,383.64,361.9,295.65,239.18,2891.47,2755.08,2597.41,2065.85,1688.88,20.66,17.75,415.66,3168.11,GRINDWELL,506076,INE536A01023
44,Aadhar Housing ,22564.41,911.83,749.64,544.76,444.85,340.13,3108.91,2586.98,2043.52,1728.56,1575.55,36.49,76.26,1095.88,3686.88,AADHARHFC,544176,INE883F01010
45,Kaynes Technology,22285.02,293.43,183.29,95.02,41.45,9.38,2828.72,1860.54,1137.51,710.35,424.66,15.98,14.52,363.89,3783.18,KAYNES,543664,INE918Z01012
46,Kalpataru Projects,22241.41,585.7,509.61,440.75,540.3,671.02,22378.26,19690.42,16401.14,14866.3,13016.46,16.19,8.2,1040.05,27247.93,KPIL,522287,INE220B01022
47,Granules,22234.82,501.52,405.31,516.6,412.76,549.46,4494.53,4510.77,4525.7,3782.53,3264.42,17.24,21.03,595.02,5385.97,GRANULES,532482,INE101D01020
48,Redington,22186.76,1604.84,1218.62,1392.56,1279.91,756.39,99561.72,89609.55,79518.71,62731.57,57041.59,21.32,2.04,1490.22,119347.43,REDINGTON,532805,INE891D01026
49,The Ramco Cements,22083.89,272.65,359.95,314.52,881.48,783.64,8559.57,9415.27,8190.19,6031.69,5321.37,4.81,14.4,698.65,9070.22,RAMCOCEM,500260,INE331A01037
50,Tata Elxsi,21912.02,784.94,792.24,755.19,549.67,368.12,3908.36,3674.1,3218.53,2515.33,1865.92,34.27,24.89,628.43,3941.4,TATAELXSI,500408,INE670A01012
51,City Union Bank,21884.51,1123.63,1015.73,937.48,760.17,592.82,6732.1,6012.22,5524.7,4863.86,4839.45,6.91,24.93,1326.23,7908.59,CUB,532210,INE491A01021
52,Brookfield Real Estate,21767.4,298.39,338.81,452.48,62.62,15.12,389,371.13,470.85,72.24,981.4,3.01,85.18,714.45,850.28,BIRET,543261,INE0FDU25010
53,CESC,21698.26,1368.94,1376.35,1342.83,1358.07,1330.93,17375.49,15544.26,14555.12,12819.57,11873.28,5.71,15.48,1542,18927,CESC,500084,INE486A01021
54,Pfizer,21508.74,767.6,551.33,623.93,612.56,497.61,2453.6,2373.68,2525.81,2673.64,2319.67,19.61,30.17,722.43,2707.6,PFIZER,500680,INE182A01018
55,EIH,21278.02,739.44,639.11,314.58,-97.46,-369.71,2879.51,2625.97,2096.41,1043.95,554.97,19.29,35.32,628.28,3105.74,EIHOTEL,500840,INE230A01023
56,Indraprastha Gas,21261.82,1717.76,1985.07,1639.65,1502.27,1172.55,15261.92,14260.97,14348.76,7886.6,5055.63,16.25,12.93,1549.62,16541.25,IGL,532514,INE203G01027
57,Affle 3I,21113.83,381.87,297.27,244.59,213.88,134.8,2360.07,1900.02,1488.28,1153.33,558.31,16.04,20.47,454.85,2787.56,AFFLE,542752,INE00WC01027
58,Belrise Industries,20999.37,355.44,310.88,313.66,261.85,,8352.45,7555.67,6620.78,5410.68,,16.84,12.23,496.86,9618.86,BELRISE,544405,INE894V01022
59,HBL Power Systems,20968.41,276.92,280.89,98.65,93.9,13.73,1993.29,2251.26,1386.36,1250.58,921.67,24.07,19.67,814.89,3361.82,HBLENGINE,517271,INE292B01021
60,Hatsun Agro Products,20772.44,285.44,267.29,165.86,217.91,246.35,8686.71,8012.99,7257.53,6380.18,5575.51,18.6,11.67,356.2,9972.94,HATSUN,531531,INE473B01035
61,Anant Raj,20728.91,425.82,265.93,151.12,54.89,10.65,2100.28,1520.74,1004.86,501.24,269.63,10.57,23.41,557.02,2579.08,ANANTRAJ,515055,INE242C01024
62,Cube Highways Trust,20698.67,347.8,-27.79,-978.07,-293.03,-229.45,1896.94,0,2379.84,1885.79,1596.56,4.89,62.29,999.57,2106.32,CUBEINVIT,543899,INE0NR623014
63,AstraZeneca Pharma,20668.75,115.74,161.51,99.29,61.6,93.3,1756.92,1330.33,1029.07,820.36,826.4,31.23,14.46,187.52,2304.07,ASTRAZEN,506820,INE203A01020
64,Prime Focus,20654.65,-377.11,-404.54,147.29,-171.57,-43.4,3825.5,4167.45,4923.75,3477.76,2610.28,14.43,20.55,301.42,4783.43,PFOCUS,532748,INE367G01038
65,Thangamayil Jewellery,20637.99,118.71,123.24,79.74,38.54,86.58,4916.3,3832.19,3155.9,2194.75,1820.94,16.6,4.45,351.65,8513.75,THANGAMAYL,533158,INE085J01014
66,Urban Company,20628.21,239.76,-92.77,-312.48,-514.14,-249.28,1260.68,927.99,726.24,509.17,289.78,2.48,-2.5,-234.81,1692.23,URBANCO,544515,INE0CAZ01013
67,Carborundum Universal,20601.87,292.74,461.25,413.99,333.36,284.31,4935.22,4778.84,4731,3364.57,2663.1,13.77,14.42,194.73,5277.96,CARBORUNIV,513375,INE120A01034
68,MTAR Technologies,20504.35,52.89,56.11,103.42,60.87,46.07,681.14,586.56,593.23,330.76,247.74,11.15,17.74,94.03,899.3,MTARTECH,543270,INE864I01014
69,Sansera Engineering,20327.97,215.16,185.76,146.2,130.45,107.99,3037.01,2813.86,2356.11,2004.52,1572.36,11.41,16.95,324.09,3557.37,SANSERA,543358,INE953O01021
70,Eris Lifesciences,20262.95,351.84,391.98,382.16,406.11,355.14,2912,2032.96,1696.3,1373.14,1220.57,12.74,34.93,619.52,3137.17,ERIS,540596,INE406M01024
71,Triveni Turbine,20259.45,357.17,269.14,192.55,270.19,102.46,2086.84,1716.17,1290.17,881.72,721.68,38.62,20.93,349.7,2257.6,TRITURBINE,533655,INE152M01016
72,Caplin Point Labs,20207.71,536.31,457.09,376.26,299.84,242.27,2033.9,1761.04,1522.71,1308.16,1084.83,23.34,31.81,641.24,2302.73,CAPLIPOINT,524742,INE475E01026
73,Sundram Fasteners,20191.24,539.1,521.68,494.69,456.72,359.18,5983.74,5720.47,5707.6,4941.4,3671.69,18.23,15.78,591.18,6368.25,SUNDRMFAST,500403,INE387A01021
74,IFCI,20099.58,171.04,103.65,-207.76,-1831.34,-1941.51,2064.16,2114.82,1518.87,1595.66,2093.81,7.95,57.28,180.87,2134.27,IFCI,500106,INE039A01010
75,Jammu & Kashmir Bank,20096.58,2081.79,1771.22,1180.52,494.85,428.45,13688.02,12050.88,10120.47,8803.39,8833.15,5.86,21.44,2359.51,14101.38,J&KBANK,532209,INE168A01041
76,Great Eastern ,19971.7,2344.26,2614.18,2575.01,629.68,918.52,6156.88,5918.7,6171.14,3669.12,3568.37,16.6,43.48,2942.52,6312.42,GESHIP,500620,INE017A01032
77,Kajaria Ceramics,19831.98,294.35,422.11,344.5,376.98,308.05,4677.81,4624.66,4415.55,3732.76,2802.2,16.51,13.39,485.41,4883.22,KAJARIACER,500233,INE217B01036
78,Sagility,19787.98,539.12,228.27,143.57,-4.67,,5626.23,4781.5,4236.06,944.39,,8.9,23.07,924.77,7290.83,SAGILITY,544282,INE0W2G01015
79,Sun TV Network,19698.32,1702.93,1925.07,1706.41,1641.8,1525.03,4712.6,4787.12,4149.1,3840.79,3483.73,19.46,45.26,1439.58,4900.47,SUNTV,532733,INE424H01027
80,Aether Industries,19599,158.42,82.49,130.42,108.93,,880.33,637.38,667.64,597.02,,10.36,27.39,219.46,1181.07,AETHER,543534,INE0BWX01014
81,Deepak Fertilisers,19512.58,933.59,442.51,1210.1,678.27,400.31,10355.24,8798.85,11384.71,7707.22,5841.16,16.65,18.59,737.25,11609.03,DEEPAKFERT,500645,INE501A01019
82,Central Mine Planning Design,19204.46,666.91,503.23,296.66,,,2177.53,1770.18,1398.78,,,41.43,38.62,613.18,2397.45,CMPDI,544739,INE05HV01027
83,JSW Cement,19129.37,-114.09,89.81,136.78,244.28,258.78,5914.66,6114.6,5982.21,4863.48,3923.63,6.08,12.07,-756.32,6664.86,JSWCEMENT,544480,INE718I01012
84,Sammaan Capital,19089.12,-1807.46,1214.39,1129.69,1177.74,1201.59,8683.25,8624.77,8725.79,8993.9,10030.12,10.83,28.09,-7144.56,8190.23,SAMMAANCAP,535789,INE148I01020
85,Gujarat Mineral,19080,685.79,617.24,1215.73,404.97,-39.34,3205.55,2733.07,3895.01,2888.87,1492.18,12.43,19.92,956.67,3077.25,GMDCLTD,532181,INE131A01031
86,Computer Age Mgmt,19037.3,470.19,353.64,285.25,286.95,205.29,1475.12,1177.17,998.64,926.94,735.25,49.51,44.21,476.01,1567.42,CAMS,543232,INE596I01020
87,Ola Electric ,18999.62,-2276,-1584.4,-1472.08,-784.15,,4932,5243.27,2782.7,456.26,,-25.08,-35.26,-1833,2460,OLAELEC,544225,INE0LXG01040
88,OneSource Specialty Pharma,18930.87,-17.97,-391.16,,,,1462.33,176.14,,,,3.26,31.9,-73.8,1436.61,ONESOURCE,544292,INE013P01021
89,Chalet Hotels,18765.6,142.56,278.16,183.33,-81.53,-139.08,1754.12,1437.04,1177.95,529.74,316.72,12.21,41.95,645.11,2812.42,CHALET,542399,INE427F01016
90,Jyoti CNC Automation,18522.47,316.01,150.86,15.06,-48.3,-70.03,1832.18,1344.95,952.6,750.06,590.09,25.94,26.79,336,2153.61,JYOTICNC,544081,INE980O01024
91,Vardhman Textiles,18481.58,883.27,631.59,795.16,1546.89,409.91,10120.84,9830.62,10329.44,9846.85,6341.43,10.82,12.48,745.25,10092.53,VTL,502986,INE825A01020
92,Bayer Cropscience,18477.49,568,740.5,758.2,645.3,493.1,5593.1,5184.2,5203.6,4789,4325.1,23.96,12.33,689.2,5770,BAYERCROP,506285,INE462A01022
93,SPR Auto Technologies,18477.13,506.68,442.56,293.46,163.56,88.75,3661.23,3174.6,2655.99,2093.88,1616.18,25.5,19.78,552.5,4571.28,SHRIPISTON,544344,INE526E01018
94,Zydus Wellness,18426.28,346.9,266.9,310.37,308.87,118.73,2722.5,2341.7,2259.65,2019.5,1875.61,6.4,13.95,197.2,3967.4,ZYDUSWELL,531335,INE768C01028
95,TD Power Systems,18363.09,174.58,118.35,96.81,70.65,45.2,1302.41,1016.73,892.05,814.14,602.91,26.91,17.72,238.77,1877.53,TDPOWERSYS,533553,INE419M01027
96,Firstsource Solutions,18324.78,594.46,514.73,513.72,537.37,361.69,7979.45,6373.09,6153.17,5921.71,5079.25,16.01,15.13,674.42,9563.85,FSL,532809,INE684F01012
97,Brigade Enterprises,18304.23,685.76,451.61,291.41,82.77,-46.32,5313.54,5064.15,3563.21,3065.51,2010.39,12.77,26.62,644.39,5909.01,BRIGADE,532929,INE791I01019
98,Ratnamani Metals & Tubes,18294.01,543.98,622.79,510.48,322.64,276,5246.09,5132.31,4507.09,3176.48,2341.54,19.83,15.7,482.55,4615.91,RATNAMANI,520111,INE703B01027
