Sl No,Stock,Market Cap,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Total Rev  Ann  1Y Ago,Rev  Ann  2Y ago,Rev  Ann  3Y ago,Rev  Ann  4Y ago,Rev  Ann  5Y ago,ROCE Ann  1Y Ago %,OPM Ann  1Y ago %,Net Profit Ann ,Total Rev  Ann ,NSE Code,BSE Code,ISIN
48,Info Edge,76782.73,962.14,575.21,-107.41,12759.57,1407.08,3922.8,2950.08,2738.54,2029.39,1269.52,4.73,25.1,1449.81,4343.29,NAUKRI,532777,INE663F01032
49,Nippon Life Asset Mgmt,76466.18,1286.39,1107.32,723.33,744.16,680.33,2520.72,2037.34,1516.61,1535.63,1419.34,38.6,57.19,1529.38,2933.07,NAM-INDIA,540767,INE298J01013
50,ICICI Prudential ,76266.24,1185.52,850.66,813.49,759.2,956.16,71036.62,91712.45,51371.95,64590.61,84851.19,0.45,1.81,1607.89,63753.72,ICICIPRULI,540133,INE726G01019
51,Phoenix Mills,76209.75,984.23,1099.21,1334.96,237.35,52.61,3964.47,4109.87,2754.65,1557.91,1165.58,10.36,54.51,1223.82,4593.55,PHOENIXLTD,503100,INE211B01039
52,NMDC,74809.58,6541.98,5575.06,5601.46,9379.6,6277.01,25498.84,22678.73,18435.1,26600.25,15721.66,29.74,31.96,7450.42,33559.27,NMDC,526371,INE584A01023
53,PB Fintech,74618.81,353.01,66.98,-487.22,-832.91,-150.24,5384.94,3818.25,2816.84,1550.28,957.41,5.6,1.74,669.94,7166.45,POLICYBZR,543390,INE417T01026
54,Swiggy,74525.71,-3116.8,-2350.24,-4179.3,-3628.9,,15622.92,11634.35,8714.45,6119.78,,-25.83,-17.83,-4154,23561,SWIGGY,544285,INE00H001014
55,YES Bank,74231.03,2446.49,1285.2,735.82,1064.05,-3488.93,37075.62,32960.89,26826.76,22423.52,23475.39,6.51,11.62,3511.71,37292.75,YESBANK,532648,INE528G01035
56,Havells,74085.7,1472.26,1270.76,1071.73,1196.47,1044.31,22081.33,18838.97,17088.44,14098.92,10644.66,22.51,9.65,1690.56,23022.16,HAVELLS,517354,INE176B01034
57,Multi Commodity Exchange,73784.43,560.04,83.11,148.97,143.45,225.22,1208.86,758.94,581.17,433.31,494.34,24.03,55.04,1331.55,2429.05,MCX,534091,INE745G01043
58,Fortis Healthcare,73770.73,774.22,598.88,588.73,555.12,-109.76,7849.69,6931.17,6359.35,5744.95,4076.68,10.5,20.23,1041.78,9178.5,FORTIS,532843,INE061F01013
59,Bajaj Housing Finance,72974.59,2162.9,1731.22,1257.8,709.62,453.19,9575.96,7617.71,5665.44,3767.13,3155.28,43.6,91.8,2560.34,11150.29,BAJAJHFL,544252,INE377Y01014
60,Prestige Estates,72677.11,467.5,1374.1,941.8,1150,1456.2,7735.5,9425.3,8772,6600.2,7501.8,9.14,33.08,1195.5,13195.5,PRESTIGE,533274,INE811K01011
61,Torrent Power,72451.25,2988.5,1833.23,2117.43,453.98,1290.93,29652.47,27527.53,26075.97,14492.65,12314.47,14.82,17.9,2416.43,29288.92,TORNTPOWER,532779,INE813H01021
62,Suzlon Energy,72278.71,2071.63,660.35,2849.01,-199.59,104.18,10993.13,6567.51,5990.16,6603.97,3365.59,24.15,16.89,3163.39,16841.78,SUZLON,532667,INE040H01021
63,Oil India,71269.82,6550.93,6335.1,8728.59,5621.63,3527.84,34178.77,33808.89,36816.73,27048.18,18721.63,11.83,32.82,6619.94,35877.28,OIL,533106,INE274J01014
64,Biocon,70916.14,1013.3,1022.5,462.7,648.4,740.5,16469.9,15621.2,11550.1,8396.7,7360.3,6.04,19.22,385.6,17269.5,BIOCON,532523,INE376G01013
65,Oberoi Realty,68760.81,2225.51,1926.6,1904.55,1047.1,739.29,5474.18,4818.77,4293.2,2752.42,2090.59,16.64,56.69,2507.43,6304.27,OBEROIRLTY,533273,INE093I01010
66,IDFC First Bank,68538.84,1490.35,2942.35,2484.93,132.31,483.18,43478.3,36256.84,27195.09,20345.28,18221.95,7.47,16.97,1610.56,48422.39,IDFCFIRSTB,539437,INE092T01019
